city,neighborhood,beds,baths,sqft,year_built,in_unit_laundry,dishwasher,hardwood_floors,recently_renovated,pets_allowed,parking,floor,has_elevator,rent
Cambridge,Inman Square,3,3,1332,1929,1,0,0,1,0,garage,1,0,4968.2
Cambridge,Central Square,2,2,826,1917,0,0,0,0,1,garage,3,0,3464.1
Cambridge,Inman Square,2,2,1172,1961,1,1,0,0,0,off_street,3,0,3901.2
Cambridge,Kendall Square,2,3,1043,1899,0,0,1,0,1,off_street,1,1,4678.05
Cambridge,Harvard Square,3,1,1393,1890,0,1,1,1,1,street_only,3,1,4735.55
Cambridge,Kendall Square,3,1,1115,2019,0,0,0,0,0,garage,4,0,4831.25
Cambridge,Kendall Square,4,3,500,1967,0,0,1,0,0,garage,2,1,4476.0
Cambridge,Inman Square,3,3,1796,1975,0,1,0,0,1,street_only,1,0,5154.6
Cambridge,Central Square,1,2,1348,1939,1,0,0,0,1,street_only,4,0,3799.8
Cambridge,Central Square,1,3,1010,1921,0,1,1,1,0,garage,5,1,3993.5
Cambridge,Central Square,2,2,1421,1956,1,1,0,1,0,street_only,3,1,4432.35
Cambridge,Kendall Square,2,2,1187,1971,1,0,0,0,0,street_only,1,1,4600.45
Cambridge,Kendall Square,4,2,627,1942,1,0,1,1,0,off_street,4,1,4644.45
Cambridge,Kendall Square,3,2,1358,1946,0,0,0,0,1,garage,2,1,5078.3
Cambridge,Inman Square,4,3,1655,1896,0,0,1,0,0,garage,2,1,5466.25
Cambridge,Kendall Square,4,2,1363,1954,1,0,1,0,1,street_only,1,0,5445.05
Cambridge,Harvard Square,2,1,1772,1929,0,0,0,1,0,garage,3,0,4875.2
Cambridge,Harvard Square,3,1,1685,1896,1,1,1,0,1,street_only,1,0,5166.75
Cambridge,Kendall Square,1,3,584,1978,0,1,0,0,0,garage,4,0,3649.4
Cambridge,Kendall Square,4,1,1391,1935,1,1,0,1,0,garage,4,1,5739.85
Cambridge,Kendall Square,2,1,1071,2005,0,0,1,0,0,garage,2,1,4338.85
Cambridge,Kendall Square,3,2,1072,1960,0,0,0,0,0,off_street,2,1,4748.2
Cambridge,Central Square,1,1,1102,1946,0,0,1,0,0,garage,4,1,3432.7
Cambridge,Central Square,3,2,1014,1949,0,0,0,0,1,street_only,2,0,4070.9
Cambridge,Kendall Square,3,1,897,1965,0,0,0,0,0,street_only,5,1,4059.95
Cambridge,Central Square,1,1,1675,1962,0,0,0,0,1,garage,1,0,4221.25
Cambridge,Central Square,1,3,1789,1903,0,1,1,0,0,off_street,4,0,4742.15
Cambridge,Central Square,4,2,1108,1999,0,1,1,0,1,street_only,2,1,4471.8
Cambridge,Harvard Square,2,1,1630,1909,0,0,1,0,0,garage,3,1,4601.5
Cambridge,Harvard Square,3,3,905,1998,0,0,0,0,0,street_only,2,1,4347.75
Cambridge,Kendall Square,4,1,1459,1967,1,1,1,0,0,street_only,4,1,5542.65
Cambridge,Inman Square,1,1,1678,1895,1,1,0,0,1,garage,5,1,4317.3
Cambridge,Harvard Square,4,2,686,2010,0,0,1,1,0,off_street,4,1,4566.1
Cambridge,Inman Square,4,1,1144,1954,0,1,0,0,1,off_street,5,1,4450.4
Cambridge,Inman Square,2,3,1240,2017,0,1,0,0,1,garage,4,0,4193.0
Cambridge,Harvard Square,2,2,1628,1893,0,0,1,1,0,street_only,2,1,4871.8
Cambridge,Kendall Square,4,2,1467,1952,0,0,0,0,1,street_only,1,1,5547.45
Cambridge,Kendall Square,3,1,1079,1966,1,1,1,1,0,garage,3,1,5168.65
Cambridge,Central Square,4,2,886,1951,0,0,1,0,1,off_street,4,1,4223.1
Cambridge,Central Square,1,1,1528,1974,1,1,0,0,0,off_street,2,1,4021.8
Cambridge,Inman Square,4,2,1193,1991,0,1,1,1,0,garage,4,0,4725.55
Cambridge,Harvard Square,3,1,685,2001,1,1,1,0,0,garage,1,0,4180.75
Cambridge,Inman Square,3,2,1267,2000,0,0,1,1,0,street_only,5,1,4358.45
Cambridge,Central Square,2,1,1444,1955,0,1,1,0,0,off_street,2,0,4280.4
Cambridge,Kendall Square,3,2,1012,2006,1,0,0,0,0,off_street,3,1,4867.2
Cambridge,Inman Square,4,2,516,1902,1,1,1,1,1,street_only,5,1,3983.6
Cambridge,Harvard Square,3,1,1786,1914,1,1,0,0,0,off_street,2,0,5392.1
Cambridge,Kendall Square,4,1,911,1923,1,1,0,0,0,street_only,3,1,4770.85
Cambridge,Kendall Square,1,2,654,1926,1,0,1,0,0,off_street,3,0,3624.9
Cambridge,Inman Square,3,3,753,2006,0,1,0,0,1,garage,1,0,4157.55
Cambridge,Inman Square,3,3,953,1906,0,0,1,0,0,street_only,1,1,4078.55
Cambridge,Inman Square,1,1,1600,1924,0,0,1,0,0,off_street,2,1,3790.0
Cambridge,Central Square,4,2,567,1984,0,0,0,0,1,garage,5,1,3776.45
Cambridge,Central Square,3,1,750,2006,0,0,1,1,0,garage,2,0,4046.5
Cambridge,Harvard Square,1,3,924,1945,1,0,1,1,0,garage,2,0,4228.4
Cambridge,Kendall Square,2,1,552,1923,0,1,0,0,0,street_only,2,1,3524.2
Cambridge,Inman Square,1,2,1418,1982,0,0,1,1,0,off_street,5,1,4063.3
Cambridge,Inman Square,1,2,1322,1999,1,0,1,0,0,off_street,2,0,3783.7
Cambridge,Kendall Square,3,2,1723,1965,0,1,0,0,1,off_street,5,0,5671.05
Cambridge,Central Square,2,2,1194,2006,0,1,0,0,0,street_only,4,0,3867.9
Cambridge,Inman Square,1,2,697,1985,1,1,1,0,0,street_only,4,1,3076.95
Cambridge,Inman Square,3,3,1139,1980,0,0,0,0,1,garage,5,1,4300.65
Cambridge,Kendall Square,2,2,1648,1896,0,1,1,0,0,garage,3,1,5142.8
Cambridge,Harvard Square,2,3,1320,1907,0,1,0,0,0,garage,4,1,4597.0
Cambridge,Kendall Square,3,2,1662,1911,1,0,1,0,0,garage,4,1,5839.7
Cambridge,Central Square,3,1,1549,1919,0,0,1,0,0,garage,1,0,4758.15
Cambridge,Inman Square,1,1,1117,1944,1,1,0,0,0,garage,2,0,3566.95
Cambridge,Harvard Square,3,1,1313,1900,0,0,0,0,0,garage,4,1,4490.55
Cambridge,Central Square,1,2,851,2007,1,1,0,1,0,off_street,4,0,3640.85
Cambridge,Kendall Square,3,1,1182,1933,0,1,1,0,1,garage,2,0,4782.7
Cambridge,Harvard Square,3,1,855,1929,1,1,0,1,0,off_street,5,1,4433.25
Cambridge,Kendall Square,3,1,1400,1907,0,1,1,0,0,street_only,3,1,5036.0
Cambridge,Inman Square,1,2,1087,1909,0,1,0,0,0,off_street,5,0,3427.45
Cambridge,Harvard Square,3,3,1474,2018,0,0,0,1,0,off_street,1,0,5214.9
Cambridge,Harvard Square,4,2,1573,1930,0,1,0,1,1,street_only,3,0,5536.55
Cambridge,Inman Square,4,2,1016,1928,0,1,0,0,1,off_street,4,0,4239.6
Cambridge,Kendall Square,4,2,761,1913,0,0,0,0,0,street_only,3,1,4435.35
Cambridge,Harvard Square,2,1,658,1965,1,0,1,1,1,street_only,3,0,3610.3
Cambridge,Harvard Square,2,1,1779,1932,1,0,0,0,1,off_street,3,1,4970.65
Cambridge,Harvard Square,3,2,897,1984,1,1,0,1,1,off_street,5,1,4502.95
Cambridge,Harvard Square,2,2,606,2013,1,1,0,1,1,garage,1,0,4022.1
Cambridge,Central Square,2,2,687,1946,1,1,1,0,0,garage,2,1,3513.45
Cambridge,Kendall Square,2,1,1152,1915,1,1,1,0,0,garage,2,1,4704.2
Cambridge,Inman Square,1,1,1024,1945,1,0,1,0,0,garage,2,1,3289.4
Cambridge,Inman Square,2,2,1775,2007,0,1,0,0,1,off_street,2,0,4835.25
Cambridge,Central Square,1,3,1222,1951,0,0,1,0,0,off_street,5,0,3833.7
Cambridge,Central Square,1,2,1264,1954,1,0,0,0,1,street_only,5,1,3709.4
Cambridge,Inman Square,3,3,1193,1934,1,1,1,0,0,street_only,1,1,4423.55
Cambridge,Kendall Square,2,1,908,1900,0,0,0,1,0,street_only,2,1,4002.8
Cambridge,Inman Square,3,2,754,1984,0,0,0,1,0,street_only,4,1,3675.9
Cambridge,Kendall Square,1,2,661,2000,0,1,1,0,0,off_street,3,1,3600.35
Cambridge,Central Square,2,2,1219,2004,0,1,0,1,0,street_only,1,1,4246.65
Cambridge,Harvard Square,1,1,1744,2002,0,0,1,0,0,off_street,1,0,4634.4
Cambridge,Kendall Square,3,2,657,1925,0,0,1,0,0,off_street,2,1,4256.95
Cambridge,Central Square,1,2,1033,2004,0,1,1,1,0,street_only,1,1,3602.55
Cambridge,Central Square,1,2,1211,1906,0,0,0,0,1,off_street,2,1,3739.85
Cambridge,Harvard Square,1,1,784,1950,1,0,1,0,1,off_street,2,0,3246.4
Cambridge,Kendall Square,4,2,1576,1995,1,1,0,1,1,garage,4,1,6137.6
Cambridge,Harvard Square,2,2,1529,1904,1,0,0,0,1,street_only,3,1,4639.15
Cambridge,Kendall Square,2,3,1062,1922,0,1,0,0,0,off_street,2,0,4555.7
Cambridge,Inman Square,1,1,593,1957,1,1,0,0,0,off_street,5,1,2734.55
Cambridge,Central Square,2,2,1109,2006,0,0,0,0,0,off_street,2,1,3930.15
Cambridge,Kendall Square,4,1,1258,2021,0,0,0,0,0,street_only,1,1,5149.3
Cambridge,Central Square,2,1,1170,1970,0,0,1,0,1,garage,1,0,3940.5
Cambridge,Central Square,2,1,1694,1980,0,0,1,1,1,garage,5,0,4616.9
Cambridge,Central Square,2,2,1249,1993,0,0,1,0,0,street_only,4,1,4082.15
Cambridge,Kendall Square,1,1,698,1990,0,1,1,0,0,off_street,5,1,3503.3
Cambridge,Inman Square,1,1,780,1975,1,0,0,1,0,off_street,3,0,3074.0
Cambridge,Kendall Square,3,3,1543,2015,1,0,1,0,1,garage,5,1,5806.05
Cambridge,Central Square,3,3,1682,1948,1,1,0,0,1,garage,2,0,5346.7
Cambridge,Inman Square,2,1,1403,1970,0,0,0,0,1,garage,1,0,4164.05
Cambridge,Harvard Square,3,2,1576,1986,0,0,1,0,0,off_street,3,1,5030.6
Cambridge,Harvard Square,3,3,1111,1947,1,1,1,0,1,garage,3,1,5042.85
Cambridge,Kendall Square,3,1,1674,1987,1,0,0,1,0,street_only,3,0,5516.9
Cambridge,Central Square,3,2,938,1941,1,0,1,0,0,off_street,5,0,4080.3
Cambridge,Inman Square,2,1,607,1915,0,1,0,1,0,off_street,2,1,3172.45
Cambridge,Central Square,2,2,1157,1963,0,1,0,0,0,off_street,1,0,3999.95
Cambridge,Harvard Square,1,2,1514,1937,1,1,1,1,0,off_street,5,0,4689.9
Cambridge,Kendall Square,4,3,1573,2016,1,0,1,0,1,garage,2,1,6314.55
Cambridge,Harvard Square,1,2,1104,1939,0,1,1,1,0,street_only,4,0,3789.4
Cambridge,Harvard Square,4,2,1008,1891,0,0,1,1,0,off_street,5,0,4763.8
Cambridge,Kendall Square,2,1,742,2009,0,0,1,1,1,garage,1,1,4179.7
Cambridge,Harvard Square,2,1,1479,1929,0,1,0,0,1,off_street,2,0,4382.65
Cambridge,Central Square,3,1,1655,1918,0,0,1,0,0,garage,5,1,4758.25
Cambridge,Harvard Square,4,1,1545,2004,1,0,1,0,0,garage,3,0,5607.75
Cambridge,Kendall Square,1,1,1684,1908,0,0,0,1,1,street_only,4,0,4664.4
Cambridge,Central Square,2,1,1360,1985,1,0,1,1,0,off_street,5,0,4339.0
Cambridge,Inman Square,2,3,1304,1922,1,0,0,0,0,off_street,5,1,4437.4
Cambridge,Central Square,2,1,1443,1978,0,0,1,1,0,off_street,4,0,4216.05
Cambridge,Harvard Square,1,1,1716,1898,0,1,1,0,0,garage,2,0,4434.6
Cambridge,Harvard Square,3,1,1679,1971,0,1,1,0,1,off_street,5,0,5182.65
Cambridge,Kendall Square,3,1,1640,1934,0,0,0,1,1,off_street,4,1,5507.0
Cambridge,Central Square,2,2,1270,1937,1,0,1,0,1,garage,1,1,4442.5
Cambridge,Harvard Square,4,1,1022,1942,0,0,0,0,0,street_only,1,1,4407.7
Cambridge,Inman Square,1,1,1703,1945,0,1,0,1,0,street_only,1,1,4093.05
Cambridge,Harvard Square,4,1,1630,1972,1,0,1,0,0,off_street,4,1,5410.5
Cambridge,Central Square,3,1,1259,1970,0,1,0,0,0,off_street,5,1,4250.65
Cambridge,Harvard Square,2,2,971,1987,0,0,1,1,0,garage,4,1,4096.85
Cambridge,Kendall Square,2,1,1619,2015,0,1,1,1,0,street_only,1,0,5241.65
Cambridge,Harvard Square,2,1,809,1892,0,0,0,0,1,garage,4,0,3405.15
Cambridge,Central Square,1,1,1584,1960,0,0,1,0,0,street_only,1,0,3996.4
Cambridge,Harvard Square,2,1,1769,1954,1,0,0,0,0,off_street,2,0,4946.15
Cambridge,Inman Square,1,1,1330,1987,0,0,1,0,0,garage,3,0,3685.5
Cambridge,Inman Square,2,1,1660,2011,0,1,1,0,0,off_street,1,0,4527.0
Cambridge,Inman Square,2,3,795,1991,1,0,1,0,1,off_street,5,1,3774.25
Cambridge,Harvard Square,1,3,1208,1903,0,0,0,0,1,off_street,4,1,3915.8
Cambridge,Kendall Square,4,2,967,1981,0,0,0,0,0,off_street,3,0,4697.45
Cambridge,Inman Square,3,1,1278,1929,1,0,0,0,0,garage,3,0,4237.3
Cambridge,Inman Square,2,2,1419,2021,0,0,0,0,0,garage,4,0,4274.65
Cambridge,Central Square,4,1,1645,1952,0,0,0,0,0,garage,2,0,5065.75
Cambridge,Central Square,3,2,1113,2013,1,0,1,0,0,off_street,2,1,4411.55
Cambridge,Harvard Square,3,1,1310,1975,1,0,1,0,0,off_street,5,0,4686.5
Cambridge,Kendall Square,2,2,1143,1935,1,1,0,0,0,off_street,2,1,4690.05
Cambridge,Kendall Square,4,2,733,1941,0,0,1,0,1,garage,2,1,4723.55
Cambridge,Inman Square,4,2,785,1967,0,1,1,1,0,off_street,4,1,4372.75
Cambridge,Central Square,1,2,1599,1911,0,0,1,0,1,off_street,4,1,4278.65
Cambridge,Inman Square,1,1,1029,1946,0,0,1,0,0,garage,4,0,3185.15
Cambridge,Inman Square,4,1,1105,1996,1,0,1,0,0,garage,4,0,4607.75
Cambridge,Central Square,3,2,699,2002,1,0,0,0,1,street_only,3,0,3737.65
Cambridge,Harvard Square,2,3,827,1974,0,1,0,0,0,off_street,4,1,3780.45
Cambridge,Harvard Square,4,3,1379,1989,0,0,0,0,1,off_street,1,0,5368.65
Cambridge,Kendall Square,2,2,733,1957,1,0,1,0,0,garage,5,0,4142.55
Cambridge,Kendall Square,4,3,853,1966,1,1,1,0,0,street_only,2,1,5018.55
Cambridge,Central Square,4,3,782,1988,0,0,1,1,1,street_only,5,0,4455.7
Cambridge,Kendall Square,2,1,1144,2005,0,1,1,0,0,garage,5,1,4613.4
Cambridge,Central Square,4,2,1500,1932,0,0,1,0,0,off_street,3,0,5119.0
Cambridge,Central Square,1,3,733,1958,1,1,0,1,0,off_street,4,0,3551.55
Cambridge,Inman Square,2,2,566,2005,0,1,0,1,0,street_only,2,1,3298.1
Cambridge,Harvard Square,2,1,923,1905,0,0,1,0,1,garage,3,1,3919.05
Cambridge,Inman Square,2,2,621,1960,1,0,1,0,1,street_only,4,1,3150.35
Cambridge,Kendall Square,4,2,1425,1909,0,1,0,0,0,garage,4,1,5650.75
Cambridge,Inman Square,1,2,1800,1981,1,1,0,1,1,garage,3,1,4820.0
Cambridge,Kendall Square,2,3,1493,1977,1,1,0,0,1,street_only,1,0,5325.55
Cambridge,Central Square,1,2,914,1923,1,0,1,1,0,garage,3,0,3658.9
Cambridge,Harvard Square,1,2,1781,1968,1,1,0,0,0,street_only,4,0,4641.35
Cambridge,Harvard Square,4,1,516,1977,1,1,0,0,0,garage,1,0,4013.6000000000004
Cambridge,Kendall Square,3,2,780,1987,1,1,0,1,0,off_street,5,0,4557.0
Cambridge,Central Square,3,1,1786,1928,1,1,0,0,1,street_only,1,1,5125.1
Cambridge,Central Square,3,1,1007,1960,0,0,1,0,0,off_street,1,1,3844.45
Cambridge,Harvard Square,4,2,611,1951,0,0,0,0,0,street_only,3,1,3901.85
Cambridge,Central Square,4,2,1618,1934,1,1,1,0,0,garage,2,0,5459.3
Cambridge,Central Square,3,3,1350,1998,1,0,1,0,0,garage,1,0,4896.5
Cambridge,Kendall Square,4,3,1799,1906,0,0,1,0,0,garage,1,1,6171.65
Cambridge,Kendall Square,2,1,525,1925,1,0,1,0,1,off_street,3,0,3658.75
Cambridge,Harvard Square,3,1,560,1975,1,0,0,0,0,street_only,4,1,3682.0
Cambridge,Kendall Square,1,2,1660,1932,0,0,0,0,1,street_only,5,0,4523.0
Cambridge,Inman Square,2,1,1466,1983,0,0,1,1,0,off_street,4,0,4188.1
Cambridge,Harvard Square,4,2,1055,1909,0,0,1,0,0,off_street,1,1,4614.25
Cambridge,Central Square,3,2,1170,1912,0,0,0,0,0,off_street,2,1,4267.5
Cambridge,Central Square,2,3,1002,1928,0,0,0,0,1,street_only,3,0,3779.7
Cambridge,Kendall Square,1,1,1585,1950,0,1,1,0,0,street_only,2,1,4544.75
Cambridge,Central Square,1,3,695,2019,0,1,0,0,0,street_only,2,1,3151.25
Cambridge,Kendall Square,4,2,1151,2005,0,0,0,1,0,street_only,1,0,5373.85
Cambridge,Central Square,3,2,747,1981,1,0,0,0,0,street_only,3,0,3663.45
Cambridge,Kendall Square,2,1,1008,1981,0,0,0,1,0,garage,4,0,4133.8
Cambridge,Central Square,1,1,748,1893,0,1,0,0,0,off_street,1,1,2747.8
Cambridge,Inman Square,1,1,1408,1922,0,1,1,0,1,street_only,2,1,3712.8
Cambridge,Central Square,1,2,1373,1934,0,1,0,0,0,off_street,5,0,3834.55
Cambridge,Central Square,4,3,1481,1905,0,0,0,0,1,street_only,5,0,5129.35
Cambridge,Kendall Square,4,3,1492,1978,1,0,0,0,0,street_only,1,1,5708.2
Cambridge,Central Square,3,3,976,1930,0,1,0,1,1,street_only,2,1,4363.6
Cambridge,Harvard Square,2,1,1713,1971,1,1,1,0,1,off_street,5,0,5135.55
Cambridge,Harvard Square,4,3,1132,1934,0,0,0,0,0,street_only,3,0,4734.2
Cambridge,Kendall Square,2,2,621,1895,0,1,0,0,0,garage,1,1,3900.35
Cambridge,Inman Square,3,2,1160,1924,1,1,0,0,0,garage,2,1,4420.0
Cambridge,Harvard Square,4,2,1103,1922,0,0,1,0,1,off_street,1,0,4851.05
Cambridge,Harvard Square,1,2,788,1974,1,0,1,0,1,street_only,3,1,3308.8
Cambridge,Kendall Square,2,1,638,1979,0,0,0,0,1,street_only,4,1,3534.3
Cambridge,Kendall Square,4,1,1481,1947,0,0,1,0,0,street_only,1,1,5276.35
Cambridge,Central Square,2,1,1620,1913,0,1,1,0,0,off_street,2,1,4372.0
Cambridge,Inman Square,1,2,920,1938,0,1,1,0,1,garage,2,0,3227.0
Cambridge,Central Square,4,1,611,1982,0,0,1,0,0,street_only,1,0,3551.85
Cambridge,Kendall Square,1,2,736,1968,1,0,1,0,1,garage,2,1,3903.6
Cambridge,Kendall Square,2,2,591,1957,0,0,1,0,0,off_street,1,0,3728.85
Cambridge,Central Square,2,3,624,1989,1,0,1,1,0,street_only,4,1,3512.4
Cambridge,Central Square,1,3,1669,2022,1,1,1,0,1,street_only,2,0,4711.15
Cambridge,Harvard Square,1,2,660,2001,0,1,0,0,0,off_street,1,0,3334.0
Cambridge,Central Square,3,2,1564,2007,1,0,1,0,1,street_only,4,0,4951.4
Cambridge,Inman Square,1,3,706,1963,1,1,1,0,1,off_street,5,1,3202.1
Cambridge,Harvard Square,3,2,794,1992,0,1,0,0,1,garage,3,0,4153.9
Cambridge,Kendall Square,3,2,1506,1915,1,0,0,0,1,garage,3,1,5438.1
Cambridge,Harvard Square,4,1,1333,2014,1,1,1,0,0,garage,5,1,5308.55
Cambridge,Inman Square,2,1,911,1904,0,0,1,0,0,garage,5,1,3307.85
Cambridge,Inman Square,2,2,1501,2004,0,1,1,0,0,garage,1,1,4425.35
Cambridge,Central Square,1,1,1671,1944,1,1,1,0,0,street_only,1,1,4167.85
Cambridge,Harvard Square,1,1,1016,1968,1,1,0,1,1,garage,3,0,3984.6
Cambridge,Kendall Square,4,3,709,1891,0,1,1,0,1,off_street,3,1,4762.15
Cambridge,Central Square,1,2,1066,1973,1,0,1,1,0,street_only,5,0,3528.1
Cambridge,Central Square,3,1,552,2017,1,0,0,0,0,off_street,5,0,3500.2
Cambridge,Harvard Square,4,2,1538,1966,1,1,1,0,0,street_only,3,0,5522.3
Cambridge,Inman Square,2,2,957,1968,0,1,0,0,0,street_only,4,0,3579.95
Cambridge,Inman Square,4,1,1524,1920,1,0,0,0,1,street_only,2,1,4976.4
Cambridge,Central Square,2,2,869,1910,0,1,0,0,0,garage,2,0,3778.15
Cambridge,Harvard Square,4,1,765,2001,0,0,1,0,0,street_only,3,0,4161.75
Cambridge,Harvard Square,1,1,1783,1953,0,1,0,0,0,garage,2,0,4465.05
Cambridge,Kendall Square,3,2,1565,1976,0,1,0,1,0,street_only,2,1,5316.75
Cambridge,Harvard Square,2,1,932,1895,0,0,0,0,0,off_street,3,0,3462.2
Cambridge,Inman Square,1,1,737,1996,0,0,0,0,0,off_street,1,1,2734.95
Cambridge,Inman Square,3,3,1740,1925,0,1,1,0,0,street_only,4,0,5021.0
Cambridge,Kendall Square,2,2,1339,1965,0,0,1,0,0,street_only,1,0,4517.65
Cambridge,Inman Square,4,1,684,2020,0,1,1,0,0,garage,3,1,3858.4
Cambridge,Inman Square,2,1,1095,1982,1,0,1,0,1,street_only,1,0,3630.25
Cambridge,Kendall Square,3,2,1773,1958,1,0,1,0,0,garage,3,1,6007.55
Cambridge,Central Square,2,1,771,1905,1,1,0,1,0,off_street,4,0,3579.85
Cambridge,Kendall Square,1,1,1489,2014,0,0,0,0,0,off_street,5,0,4433.15
Cambridge,Inman Square,4,1,1486,1978,1,1,0,1,1,off_street,1,0,5121.1
Cambridge,Central Square,4,1,653,2015,0,0,0,0,0,garage,4,0,3756.55
Cambridge,Central Square,4,3,1417,1912,1,0,0,0,1,street_only,4,1,5090.95
Cambridge,Inman Square,1,3,1767,1967,1,1,1,0,0,street_only,2,1,4649.45
Cambridge,Central Square,3,2,733,1914,1,0,0,1,1,garage,5,1,4013.55
Cambridge,Inman Square,2,2,787,1994,0,1,0,1,0,garage,2,1,3487.45
Cambridge,Central Square,1,3,752,2005,0,1,1,1,0,off_street,1,1,3699.2
Cambridge,Central Square,2,3,855,1922,0,1,1,0,1,garage,5,0,3834.25
Cambridge,Central Square,3,2,1427,1924,0,1,1,0,1,off_street,3,0,4658.45
Cambridge,Harvard Square,3,2,771,1935,0,1,0,0,0,garage,5,1,4223.85
Cambridge,Kendall Square,4,1,1570,1917,0,0,1,0,1,street_only,3,1,5428.5
Cambridge,Inman Square,3,1,1608,1898,0,0,1,0,0,street_only,5,1,4481.8
Cambridge,Kendall Square,1,2,1293,1996,1,1,0,0,0,garage,2,1,4550.55
Cambridge,Kendall Square,2,1,1102,2004,0,1,0,0,0,garage,1,1,4434.7
Cambridge,Kendall Square,2,1,1696,1955,0,0,1,0,1,off_street,1,1,5165.6
Cambridge,Kendall Square,1,2,1576,1946,1,0,1,0,0,garage,1,1,4910.6
Cambridge,Harvard Square,3,2,1238,1965,0,1,1,1,1,off_street,1,0,4933.3
Cambridge,Central Square,2,3,1772,1952,1,1,0,1,1,garage,3,1,5274.2
Cambridge,Kendall Square,4,2,589,1965,1,0,1,1,0,off_street,5,0,4578.15
Cambridge,Harvard Square,2,2,712,1942,0,1,1,1,1,street_only,2,0,3841.2
Cambridge,Kendall Square,1,1,650,1903,0,0,0,1,1,garage,4,1,3549.5
Cambridge,Central Square,3,1,1297,1920,0,1,1,1,0,off_street,1,1,4622.95
Cambridge,Inman Square,3,2,1742,1912,0,1,0,1,0,street_only,5,0,4920.7
Cambridge,Central Square,3,1,1110,1985,1,0,1,0,0,off_street,5,1,4333.5
Cambridge,Inman Square,3,1,1204,1944,0,1,1,0,0,garage,2,0,4157.4
Cambridge,Inman Square,4,3,649,1964,1,0,0,0,1,garage,2,0,4162.15
Cambridge,Kendall Square,1,1,1150,2014,0,1,0,0,0,garage,3,1,4093.5
Cambridge,Inman Square,3,1,953,2001,0,0,1,0,0,garage,3,1,4020.55
Cambridge,Inman Square,2,3,667,1961,1,0,1,0,1,street_only,1,0,3574.45
Cambridge,Inman Square,4,3,935,1899,0,0,1,0,1,garage,4,0,4475.25
Cambridge,Harvard Square,4,3,1545,1913,0,0,1,1,1,off_street,2,0,5848.75
Cambridge,Harvard Square,2,3,1658,1927,1,0,0,0,0,street_only,3,1,5022.3
Cambridge,Inman Square,2,3,1239,1989,0,0,0,1,0,off_street,5,1,4191.65
Cambridge,Harvard Square,4,2,1248,1909,0,0,1,0,0,garage,4,1,4927.8
Cambridge,Harvard Square,4,1,971,1909,0,0,0,0,1,street_only,2,1,4359.85
Cambridge,Inman Square,4,2,1481,1943,0,1,0,0,0,off_street,2,0,5086.35
Cambridge,Inman Square,2,1,840,1956,1,0,0,1,1,off_street,3,0,3459.0
Cambridge,Central Square,4,2,849,1946,1,1,1,1,0,off_street,5,1,4551.15
Cambridge,Kendall Square,4,3,1709,1907,0,0,0,0,1,off_street,4,0,5931.15
Cambridge,Harvard Square,4,3,1728,1899,1,0,1,0,1,off_street,5,0,6062.8
Cambridge,Central Square,3,1,1585,1999,0,1,1,0,0,off_street,5,0,4766.75
Cambridge,Harvard Square,3,2,976,1911,0,1,0,0,1,street_only,5,0,4318.6
